cluster_id,canonical_name,canon_id,basis,flag,death,tabaqa,n_entries,n_books,books,variant_names,members
17728,جعفر بن عمرو بن أمية، سمع أباه، سمع منه الزهري وأبو سلمة، يعد في اهل المدينة، الضمرى,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن عمرو بن أمية، سمع أباه، سمع منه الزهري وأبو سلمة، يعد في اهل المدينة، الضمرى,tarikh_kabir_bukhari:
17729,جعفر بن عمرو بن جعفر بن عمرو بن أمية الضمري، روى عنه إبراهيم بن إسماعيل بن مجمع - قاله لنا علي (1) قال لي محمد حدثنا عبد العزيز بن يحيى قال ثنا محمد بن سلمة عن محمد بن إسحاق عن جعفر بن عمرو: عن أبي سلمة حدثني جعفر بن عمرو عن أبيه أن النبي صلى الله عليه وسلم مسح على الخفين، وقال لي يحيى بن بكير حدثني بكر عن جعفر بن ربيعة عن الزبرقان بن عمرو بن أمية الضمري عن أبي سلمة عن جعفر بن عمرو عن أبيه: رأى النبي صلى الله عليه وسلم,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن عمرو بن جعفر بن عمرو بن أمية الضمري، روى عنه إبراهيم بن إسماعيل بن مجمع - قاله لنا علي (1) قال لي محمد حدثنا عبد العزيز بن يحيى قال ثنا محمد بن سلمة عن محمد بن إسحاق عن جعفر بن عمرو: عن أبي سلمة حدثني جعفر بن عمرو عن أبيه أن النبي صلى الله عليه وسلم مسح على الخفين، وقال لي يحيى بن بكير حدثني بكر عن جعفر بن ربيعة عن الزبرقان بن عمرو بن أمية الضمري عن أبي سلمة عن جعفر بن عمرو عن أبيه: رأى النبي صلى الله عليه وسلم,tarikh_kabir_bukhari:
17730,جعفر بن عبد الله بن أسلم مولى عمر بن الخطاب القرشي العدوي، روى عنه محمد بن إسحاق، يعد في أهل المدينة ابن أخي زيد بن أسلم، سمع عاصم بن عمر بن قتادة، سمع منه يزيد بن الهاد,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن عبد الله بن أسلم مولى عمر بن الخطاب القرشي العدوي، روى عنه محمد بن إسحاق، يعد في أهل المدينة ابن أخي زيد بن أسلم، سمع عاصم بن عمر بن قتادة، سمع منه يزيد بن الهاد,tarikh_kabir_bukhari:
17731,جعفر بن عبد الله بن عثمان (2) بن حميد القرشي، حجازي، قال لي محمد بن بشار ثنا أبو داود قال: ثنا جعفر بن عثمان القرشي سمع,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن عبد الله بن عثمان (2) بن حميد القرشي، حجازي، قال لي محمد بن بشار ثنا أبو داود قال: ثنا جعفر بن عثمان القرشي سمع,tarikh_kabir_bukhari:
17732,جعفر بن عبد الله بن الحكم بن رافع بن سنان (1) الأنصاري الأوسي المدني، رأى أنسا، وعن علباء السلمي، روى عنه ابنه عبد الحميد بن جعفر، قال لنا عبد الله حدثنا الليث حدثني خالد عن سعيد بن أبي هلال عن جعفر بن عبد الله الأنصاري: عن الحكم بن مسلم أن ابن هرمز حدثه عن أبي هريرة أن النبي صلى الله عليه وسلم كان يقبل وهو صائم,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن عبد الله بن الحكم بن رافع بن سنان (1) الأنصاري الأوسي المدني، رأى أنسا، وعن علباء السلمي، روى عنه ابنه عبد الحميد بن جعفر، قال لنا عبد الله حدثنا الليث حدثني خالد عن سعيد بن أبي هلال عن جعفر بن عبد الله الأنصاري: عن الحكم بن مسلم أن ابن هرمز حدثه عن أبي هريرة أن النبي صلى الله عليه وسلم كان يقبل وهو صائم,tarikh_kabir_bukhari:
17733,جعفر بن عبد الله بن مهزم الكندى، عن قرط,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن عبد الله بن مهزم الكندى، عن قرط,tarikh_kabir_bukhari:
17734,جعفر بن عبد الرحمن بن خارجة بن العوام سمع أبا هريرة عن النبي صلى الله عليه وسلم: تأتي سنيات (1) يؤتمن الخائن - قاله لي يوسف بن محمد سمع يحيى بن سليم: عن ابن خثيم، وقال ابن حميد حدثنا هارون: عن ابن خثيم عن ابن خارجة بن العوام سمع أبا هريرة عن النبي صلى الله عليه وسلم، وقال لنا علي ثنا الفضل بن العلاء: عن ابن خثيم عن جعفر بن عبد الرحمن عن خارجة بن العوام (2) سمع أبا هريرة عن النبي صلى الله عليه وسلم، وقال القاسم بن يحيى: عن ابن خثيم عن جعفر ابن عبد الرحمن بن خارجة سمع أبا هريرة قوله,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن عبد الرحمن بن خارجة بن العوام سمع أبا هريرة عن النبي صلى الله عليه وسلم: تأتي سنيات (1) يؤتمن الخائن - قاله لي يوسف بن محمد سمع يحيى بن سليم: عن ابن خثيم، وقال ابن حميد حدثنا هارون: عن ابن خثيم عن ابن خارجة بن العوام سمع أبا هريرة عن النبي صلى الله عليه وسلم، وقال لنا علي ثنا الفضل بن العلاء: عن ابن خثيم عن جعفر بن عبد الرحمن عن خارجة بن العوام (2) سمع أبا هريرة عن النبي صلى الله عليه وسلم، وقال القاسم بن يحيى: عن ابن خثيم عن جعفر ابن عبد الرحمن بن خارجة سمع أبا هريرة قوله,tarikh_kabir_bukhari:
17735,جعفر بن عبد الرحمن أبو عبد الرحمن الأنصاري قال لي قيس ثنا عبد الواحد قال: ثنا الأعمش قال ثنا جعفر بن عبد الرحمن أبو عبد الرحمن الأنصاري شيخ لقيته بواسط قال: حدثتني أم طارق أن النبي صلى الله عليه وسلم أتى سعد بن عبادة فقال: السلام عليكم - فسلم ثلاثا، وقال أبو إسحاق الفزاري: عن الأعمش عن جعفر بن عبد الرحمن وقال يعلى: عن الأعمش عن جعفر بن عبد الرحمن عن ام طارق، وقال عثمان,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن عبد الرحمن أبو عبد الرحمن الأنصاري قال لي قيس ثنا عبد الواحد قال: ثنا الأعمش قال ثنا جعفر بن عبد الرحمن أبو عبد الرحمن الأنصاري شيخ لقيته بواسط قال: حدثتني أم طارق أن النبي صلى الله عليه وسلم أتى سعد بن عبادة فقال: السلام عليكم - فسلم ثلاثا، وقال أبو إسحاق الفزاري: عن الأعمش عن جعفر بن عبد الرحمن وقال يعلى: عن الأعمش عن جعفر بن عبد الرحمن عن ام طارق، وقال عثمان,tarikh_kabir_bukhari:
17736,جعفر بن عياض، سمع أبا هريرة روى عنه اسحاق ابن عبد الله بن أبي طلحة، حديثه عن أهل المدينة,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن عياض، سمع أبا هريرة روى عنه اسحاق ابن عبد الله بن أبي طلحة، حديثه عن أهل المدينة,tarikh_kabir_bukhari:
17737,جعفر بن عطية أبو عمرو الذهلي البصري الخراز، سمع ابن سيرين ويونس وثابتا، روى عنه نصر بن علي - قاله بشر بن الحكم,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن عطية أبو عمرو الذهلي البصري الخراز، سمع ابن سيرين ويونس وثابتا، روى عنه نصر بن علي - قاله بشر بن الحكم,tarikh_kabir_bukhari:
