name_norm,display_name,n_books,n_entries,source_types,books,pages
اسماعيل بن ثابت بن مجمع,إسماعيل بن ثابت بن مجمع,3,3,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; mughni_duafa_dhahabi,mughni_duafa_dhahabi:ج1/ص79 | duafa_uqayli:ج1/ص79
اسماعيل بن عبيد الله بن سلمان المكي,إسماعيل بن عبيد الله بن سلمان المكي,3,3,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; mughni_duafa_dhahabi,duafa_uqayli:ج1/ص86
بشير بن زاذان,بشير بن زاذان,3,3,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ); tadlīs,duafa_uqayli; lisan_mizan_ibnhajar; tabaqat_mudallisin_ibnhajar,duafa_uqayli:ج1/ص144
جرير بن عبد الله,جرير بن عبد الله,3,3,biography/ṭabaqāt; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi; tabaqat_ibnsad,tabaqat_ibnsad:ج8/ص145
الجعد بن درهم,الجعد بن درهم,3,3,biography; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi; siyar_dhahabi,
الحارث بن زياد,الحارث بن زياد,3,3,biography/ṭabaqāt; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi; tabaqat_ibnsad,tabaqat_ibnsad:ج8/ص140
حازم بن بشير البصري,حازم بن بشير البصري,3,3,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; lisan_mizan_ibnhajar; mughni_duafa_dhahabi,
خالد بن كلاب,خالد بن كلاب,3,3,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; mughni_duafa_dhahabi,duafa_uqayli:ج2/ص13
زيد بن عبد الرحمن بن زيد بن اسلم,زيد بن عبد الرحمن بن زيد بن أسلم.</span>,3,3,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; duafa_uqayli; lisan_mizan_ibnhajar,duafa_uqayli:ج2/ص72
سالم بن هلال,سالم بن هلال,3,3,general; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi; tarikh_kabir_bukhari,
