name_norm,display_name,n_books,n_entries,source_types,books,pages
الفضل بن صالح عن عطا بن السايب قال الازدي لا يحتج به,الفضل بن صالح عن عطاء بن السائب قال الأزدي لا يحتج به,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن العباس البصري عن ثابت البناني لا يعرف من هو,الفضل بن العباس البصري عن ثابت البناني لا يعرف من هو,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن عبد الله بن مسعود اليشكري الهروي تكلم فيه ابن حبان,الفضل بن عبد الله بن مسعود اليشكري الهروي تكلم فيه ابن حبان,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن عبيد الله الحميري عن احمد بن حنبل متهم بالكذب,الفضل بن عبيد الله الحميري عن أحمد بن حنبل متهم بالكذب,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن عبد الله الاستراباذي قال الاسماعيلي كتبت عنه مرمي بالكذب,الفضل بن عبد الله الاستراباذي قال الإسماعيلي كتبت عنه مرمي بالكذب,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن عطا عن الفضل بن شعيب عن ابي منصور سند مظلم والمتن كذب روي عنه يونس بن محمد المودب,الفضل بن عطاء عن الفضل بن شعيب عن أبي منصور سند مظلم والمتن كذب روى عنه يونس بن محمد المؤدب,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
س ق الفضل بن عطيه عن عطا بن ابي رباح ضعفه ابن عدي وقال ابو زرعه لا باس به,س ق / الفضل بن عطية عن عطاء بن أبي رباح ضعفه ابن عدي وقال أبو زرعة لا بأس به,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن عميره القيسي عن ميمون بن سياه منكر الحديث,الفضل بن عميرة القيسي عن ميمون بن سياه منكر الحديث,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
ق الفضل بن عيسي الرقاشي ابن اخي يزيد الرقاشي عن انس مجمع علي ضعفه,ق / الفضل بن عيسى الرقاشي ابن أخي يزيد الرقاشي عن أنس مجمع على ضعفه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن غانم الخزاعي عن مالك قال يحيي ليس بشي ومشاه غيره,الفضل بن غانم الخزاعي عن مالك قال يحيى ليس بشيء ومشاه غيره,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن فرقد عن محمد بن عمرو يخالف في حديثه وهو مقل,الفضل بن فرقد عن محمد بن عمرو يخالف في حديثه وهو مقل,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن الفضل السقطي عن عبد الواحد بن زياد كتب عنه ابو حاتم وقال ليس بذاك,الفضل بن الفضل السقطي عن عبد الواحد بن زياد كتب عنه أبو حاتم وقال ليس بذاك,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
ق الفضل بن مبشر ابو بكر المدني عن جابر ضعفه ابن معين والنسايي,ق / الفضل بن مبشر أبو بكر المدني عن جابر ضعفه ابن معين والنسائي,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن محرر الخزاعي شيخ لاحمد بن سعيد الدارمي مجهول,الفضل بن محرر الخزاعي شيخ لأحمد بن سعيد الدارمي مجهول,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن محمد البيهقي الشعراني عن سعيد بن ابي مريم قال ابو حاتم تكلموا فيه,الفضل بن محمد البيهقي الشعراني عن سعيد بن أبي مريم قال أبو حاتم تكلموا فيه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن محمد العطار عن مصعب بن عبد الله قال الدارقطني كان يضع الحديث,الفضل بن محمد العطار عن مصعب بن عبد الله قال الدارقطني كان يضع الحديث,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن محمد الباهلي الانطاكي الاحدب عن دحيم قال ابن عدي كان يسرق الحديث,الفضل بن محمد الباهلي الأنطاكي الأحدب عن دحيم قال ابن عدي كان يسرق الحديث,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن المختار ابو سهل عن ابن ابي ذيب مجهول قال ابو حاتم ويحدث بالاباطيل,الفضل بن المختار أبو سهل عن ابن أبي ذئب مجهول قال أبو حاتم ويحدث بالأباطيل,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن معروف شيخ لمحمد بن ابي بكر المقدمي قال العقيلي كان قليل الضبط,الفضل بن معروف شيخ لمحمد بن أبي بكر المقدمي قال العقيلي كان قليل الضبط,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن مهلهل اخو مفضل عن منصور قال ابو حاتم يكتب حديثه اخوه احب الي منه,الفضل بن مهلهل أخو مفضل عن منصور قال أبو حاتم يكتب حديثه أخوه أحب إلي منه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
ق الفضل بن موفق عن مسعر ضعفه ابو حاتم وقال روي موضوعات,ق / الفضل بن موفق عن مسعر ضعفه أبو حاتم وقال روى موضوعات,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن موتمن العتكي عن ابي الحلال مجهولون,الفضل بن مؤتمن العتكي عن أبي الحلال مجهولون,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفل بن ميمون ابو سلمه شيخ لعارم قال ابو حاتم منكر الحديث,الفل بن ميمون أبو سلمة شيخ لعارم قال أبو حاتم منكر الحديث,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن نجيح عن مالك له خبر موضوع في الجهر بالبسمله لكن السند مظلم اليه,الفضل بن نجيح عن مالك له خبر موضوع في الجهر بالبسملة لكن السند مظلم اليه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن يحيي السبخي عن مالك له حديث وهو منكر,الفضل بن يحيى السبخي عن مالك له حديث وهو منكر,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل بن يسار عن غالب القطان لا يتابع علي حديثه قاله العقيلي,الفضل بن يسار عن غالب القطان لا يتابع على حديثه قاله العقيلي,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل شيخ صفوان بن سليم,الفضل شيخ صفوان بن سليم,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
والفضل ابو محمد عن الحسن مجهولان,والفضل أبو محمد عن الحسن مجهولان,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل عن انس شيخ بصري مجهول,الفضل عن أنس شيخ بصري مجهول,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضل البلخي ابن اخت مقاتل بن سليمان ضعف,الفضل البلخى ابن أخت مقاتل بن سليمان ضعف,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
فضل الله بن محمد بن ابي الشريف الخوزي حدث عن شهردار بن شيرويه قال الدبيثي ضعيف جدا حدث عن الارموي ولم يلقه,فضل الله بن محمد بن أبي الشريف الخوزي حدث عن شهردار بن شيروية قال الدبيثي ضعيف جدا حدث عن الأرموي ولم يلقه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
ت فضه ابو مودود عن الحسن نزل الري ضعفه ابو حاتم,ت / فضة أبو مودود عن الحسن نزل الري ضعفه أبو حاتم,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
فضيل بن حديج عن مولي للاشتر مجهول,فضيل بن حديج عن مولى للأشتر مجهول,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
ع فضيل بن سليمان النميري عن منصور بن صفيه فيه لين قال ابو حاتم وغيره ليس بالقوي وقال ابو زرعه لين وقال عباس عن ابن معين ليس بثقه,ع / فضيل بن سليمان النميري عن منصور بن صفية فيه لين قال أبو حاتم وغيره ليس بالقوي وقال أبو زرعة لين وقال عباس عن ابن معين ليس بثقة,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضيل بن محمد الهروي قال ابن النجار حدث بحديث منكر بجامع المنصور,الفضيل بن محمد الهروي قال ابن النجار حدث بحديث منكر بجامع المنصور,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
م عه فضيل بن مرزوق الكوفي عن ابي حازم الاشجعي والكبار وثقه غير واحد وضعفه النسايي وابن معين ايضا وقال الحاكم عيب علي مسلم اخراجه في صحيحه,م عه / فضيل بن مرزوق الكوفي عن أبي حازم الأشجعي والكبار وثقه غير واحد وضعفه النسائي وابن معين أيضا وقال الحاكم عيب على مسلم إخراجه في صحيحه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
فضيل بن مرزوق الرقاشي عن عطيه ضعفه ابن معين وغيره هو الاول,فضيل بن مرزوق الرقاشي عن عطية ضعفه ابن معين وغيره هو الأول,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
فضيل بن والان شيخ لحماد بن سلمه مجهول,فضيل بن والان شيخ لحماد بن سلمة مجهول,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
فضيل بن يحيي عن عكرمه في حديثه نظر,فضيل بن يحيى عن عكرمة في حديثه نظر,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفضيل ابو محمد عن الحسن لا يعرف,الفضيل أبو محمد عن الحسن لا يعرف,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
فطر بن حماد بن واقد البصري وثق وقال ابو حاتم ليس بالقوي سمع مالكا وقال ابو داود تغير تغيرا شديدا,فطر بن حماد بن واقد البصري وثق وقال أبو حاتم ليس بالقوي سمع مالكا وقال أبو داود تغير تغيرا شديدا,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
خ مقرونا عه فطر بن خليفه المخزومي الخياط عن ابي الطفيل وعده شيعي جلد صدوق وثقه احمد وابن معين وقال الجوزجاني زايغ غير ثقه وقال الدارقطني زايغ لا يحتج به قلت اخرج له خ مقرونا باخر,خ مقرونا عه / فطر بن خليفة المخزومي الخياط عن أبي الطفيل وعدة شيعي جلد صدوق وثقة أحمد وابن معين وقال الجوزجاني زائغ غير ثقة وقال الدارقطني زائغ لا يحتج به قلت أخرج له خ مقرونا بآخر,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
فطر بن محمد العطار الاحدب قال الدارقطني كذاب حدثونا عنه,فطر بن محمد العطار الأحدب قال الدارقطني كذاب حدثونا عنه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
فلان بن غيلان الثقفي عن ابن مسعود قال الدارقطني لا يصح حديثه,فلان بن غيلان الثقفي عن ابن مسعود قال الدارقطني لا يصح حديثه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
ع فليح بن سليمان المدني عن نافع وعده احتجابه في الصحيحين وقد قال ابن معين وابو حاتم والنسايي ليس بالقوي,ع / فليح بن سليمان المدني عن نافع وعدة احتجابه في الصحيحين وقد قال ابن معين وأبو حاتم والنسائي ليس بالقوي,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
فهد بن حيان البصري عن شعبه ضعفوه,فهد بن حيان البصري عن شعبة ضعفوه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
فهد بن عوف واسمه زيد عن حماد بن زيد قال ابن المديني كذاب,فهد بن عوف واسمه زيد عن حماد بن زيد قال ابن المديني كذاب,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
فياض بن غزوان عن زبيد اليامي لينه البخاري قليلا,فياض بن غزوان عن زبيد اليامي لينه البخاري قليلا,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
فياض بن محمد البصري عن يحيي بن ابي كثير مجهول,فياض بن محمد البصري عن يحيى بن أبي كثير مجهول,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
الفيض بن وثيق عن ابي عوانه وغيره قال ابن معين كذاب خبيث,الفيض بن وثيق عن أبي عوانة وغيره قال ابن معين كذاب خبيث,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
د ت ق قابوس بن ابي ظبيان قال النسايي وغيره ليس بالقوي,د ت ق / قابوس بن أبي ظبيان قال النسائي وغيره ليس بالقوي,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
قابوس بن ابي المخارق كوف تابعي مجهول وقال س لا باس به,قابوس بن أبي المخارق كوف تابعي مجهول وقال س لا بأس به,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
قاسم بن ابراهيم الملطي عن لوين قال الدارقطني كذاب,قاسم بن إبراهيم الملطي عن لوين قال الدارقطني كذاب,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن ابراهيم الهاشمي الكوفي عن ابي نعيم جرحه ابن حبان,القاسم بن إبراهيم الهاشمي الكوفي عن أبي نعيم جرحه ابن حبان,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن احمد الدباغ كان بعد الثلاثمايه قال ابن يونس تكلموا فيه,القاسم بن أحمد الدباغ كان بعد الثلاثمائة قال ابن يونس تكلموا فيه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
ت القاسم بن اميه الحذا عن حفص بن غياث تكلم فيه ابن حبان,ت / القاسم بن أمية الحذاء عن حفص بن غياث تكلم فيه ابن حبان,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
قاسم بن بهرام له عجايب عن ابي الزبير وهاه ابن حبان وغيره,قاسم بن بهرام له عجائب عن أبي الزبير وهاه ابن حبان وغيره,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
قاسم بن حبيب التمار عن نزار بن حيان قال ابن معين لا شي,قاسم بن حبيب التمار عن نزار بن حيان قال ابن معين لا شيء,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
د س قاسم بن حسان عن عمه عن ابن مسعود قال البخاري حديثه منكر,د س / قاسم بن حسان عن عمه عن ابن مسعود قال البخاري حديثه منكر,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن الحسن الفلكي من طبقه الاسماعيلي فيه كلام,القاسم بن الحسن الفلكي من طبقة الإسماعيلي فيه كلام,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن الحسن الهمداني الفلكي عن ابن وهب الدينوري تكلم فيه,القاسم بن الحسن الهمداني الفلكي عن ابن وهب الدينوري تكلم فيه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
ت قاسم بن الحكم العريني وثقه النسايي وقال ابو حاتم لا يحتج به سمع زكريا بن ابي زايده,ت / قاسم بن الحكم العريني وثقه النسائي وقال أبو حاتم لا يحتج به سمع زكريا بن أبي زائدة,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
قاسم بن الحكم عن ابي عباد الزرقي مجهول,قاسم بن الحكم عن أبي عباد الزرقي مجهول,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن داود البغدادي من حيوانات البر او لا وجود له قال ابو بكر النقاش المفسر سمعته يقول كتبت عن سته الاف شيخ وثنا عن محمد بن ابراهيم بن العلا قلت النقاش متهم,القاسم بن داود البغدادي من حيوانات البر أو لا وجود له قال أبو بكر النقاش المفسر سمعته يقول كتبت عن ستة آلاف شيخ وثنا عن محمد بن إبراهيم بن العلاء قلت النقاش متهم,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن رشدين عن مخرمه بن بكير قال س لا اعرفه,القاسم بن رشدين عن مخرمة بن بكير قال س لا أعرفه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
د القاسم بن عباس الهاشمي اللهبي لينه ابن البرقي محمد قليلا له عن نافع بن جبير,د / القاسم بن عباس الهاشمي اللهبي لينه ابن البرقي محمد قليلا له عن نافع بن جبير,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن عبد الله بن محمد بن عقيل قال يحيي ليس هو بشي,القاسم بن عبد الله بن محمد بن عقيل قال يحيى ليس هو بشيء,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن عبد الله بن عمر العمري عن ابن المنكدر قال احمد كذاب يضع الحديث,القاسم بن عبد الله بن عمر العمري عن ابن المنكدر قال أحمد كذاب يضع الحديث,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن عبد الله بن مهدي الاخميمي الحافظ شيخ ابن عدي ضعف روي ابن عدي واخر عنه عن ابي مصعب نا عبد العزيز ابن ابي حازم عن ابيه عن سهل مرفوعا لكم في كل جمعه حجه وعمره فالتبكير بحجه وانتظار عصرها بعمره وهذا موضوع,القاسم بن عبد الله بن مهدي الأخميمي الحافظ شيخ ابن عدي ضعف روى ابن عدي وآخر عنه عن أبي مصعب نا عبد العزيز ابن أبي حازم عن أبيه عن سهل مرفوعا لكم في كل جمعة حجة وعمرة فالتبكير بحجة وانتظار عصرها بعمرة وهذا موضوع,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن عبد الله المكفوف عن سلم الخواص اتهمه ابن حبان,القاسم بن عبد الله المكفوف عن سلم الخواص اتهمه ابن حبان,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن عبد الله شيخ روي عنه هنيد بن القاسم مجهول,القاسم بن عبد الله شيخ روى عنه هنيد بن القاسم مجهول,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن عبد الرحمن ابو عبد الرحمن الدمشقي مولي ال معاويه,القاسم بن عبد الرحمن أبو عبد الرحمن الدمشقي مولى آل معاوية,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن عبد الرحمن بن مهدي الاخميمي قال الدارقطني ليس بشي,القاسم بن عبد الرحمن بن مهدي الأخميمي قال الدارقطني ليس بشيء,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن عبد الرحمن عن ابيه عن ابي هريره مجهول,القاسم بن عبد الرحمن عن أبيه عن أبي هريرة مجهول,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن عبدالرحمن عن ابي جعفر الباقر ضعفه ابو حاتم وقال ثنا عنه محمد بن عبد الله الانصاري بحديثين باطلين وروي عنه عيسي بن يونس,القاسم بن عبدالرحمن عن أبي جعفر الباقر ضعفه أبو حاتم وقال ثنا عنه محمد بن عبد الله الأنصاري بحديثين باطلين وروى عنه عيسى بن يونس,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
ت س ق القاسم بن عبد الواحد بن ايمن عن عبد الله بن محمد بن عقيل وثق وقال ابو حاتم يكتب حديثه قيل له ايحتج به قال يحتج بسفيان وشعبه مات شابا,ت س ق / القاسم بن عبد الواحد بن أيمن عن عبد الله بن محمد بن عقيل وثق وقال أبو حاتم يكتب حديثه قيل له أيحتج به قال يحتج بسفيان وشعبة مات شابا,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن عثمان البصري عن انس قال البخاري له احاديث لا يتابع عليها,القاسم بن عثمان البصري عن أنس قال البخاري له أحاديث لا يتابع عليها,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن عمر عن محمد بن المنكدر حدث في سنه اربع وعشرين ومايتين ليس بشي فان حديثه منكر جدا رواه عنه الختلي,القاسم بن عمر عن محمد بن المنكدر حدث في سنة اربع وعشرين ومائتين ليس بشيء فإن حديثه منكر جدا رواه عنه الختلي,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
م ق القاسم بن عوف الشيباني عن البرا مختلف فيه قال ابو حاتم مضطرب الحديث,م ق / القاسم بن عوف الشيباني عن البراء مختلف فيه قال أبو حاتم مضطرب الحديث,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن غصن عن مسعر بن كدام ضعفه ابو حاتم وغيره,القاسم بن غصن عن مسعر بن كدام ضعفه أبو حاتم وغيره,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن غنام المدني من التابعين قال العقيلي في حديثه اضطراب,القاسم بن غنام المدني من التابعين قال العقيلي في حديثه اضطراب,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
د س القاسم بن فياض الصنعاني يروي عنه هشام بن يوسف ضعفه غير واحد,د س / القاسم بن فياض الصنعاني يروي عنه هشام بن يوسف ضعفه غير واحد,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
م عه القاسم بن الفضل الحداني عن ابي نضره وغيره صدوق وثقه ابن مهدي واورده العقيلي في الضعفا فما تكلم فيه بما يضعفه قط,م عه / القاسم بن الفضل الحداني عن أبي نضرة وغيره صدوق وثقه ابن مهدي وأورده العقيلي في الضعفاء فما تكلم فيه بما يضعفه قط,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
خ م القاسم بن مالك المزني ثقه مشهور شيخ ابن عرفه ضعفه الساجي فقط له عن الجريري عن ابي نضره عن ابي سعيد كان يتعوذ من عين الجن والانس حتي نزلت المعوذات قال ابو حاتم لا يحتج به,خ م / القاسم بن مالك المزني ثقة مشهور شيخ ابن عرفة ضعفه الساجي فقط له عن الجريري عن أبي نضرة عن أبي سعيد كان يتعوذ من عين الجن والإنس حتى نزلت المعوذات قال أبو حاتم لا يحتج به,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن محمد بن حماد الدلال عن ابي بلال الاشعري ضعفه الدارقطني,القاسم بن محمد بن حماد الدلال عن أبي بلال الأشعري ضعفه الدارقطني,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن محمد بن حميد المعمري قال يحيي بن معين كذاب خبيث ووثقه قتيبه وهو راوي قصه الاضحيه بالجعد بن درهم,القاسم بن محمد بن حميد المعمري قال يحيى بن معين كذاب خبيث ووثقه قتيبة وهو راوي قصة الأضحية بالجعد بن درهم,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن محمد بن عبد الله بن محمد بن عقيل قال ابو حاتم متروك وقال احمد ليس بشي وقال ابو زرعه احاديثه منكره قلت مر منسوبا الي الجد,القاسم بن محمد بن عبد الله بن محمد بن عقيل قال أبو حاتم متروك وقال أحمد ليس بشيء وقال أبو زرعة أحاديثه منكرة قلت مر منسوبا إلى الجد,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن محمد بن الفرغاني عن ابي عاصم النبيل قال الحاكم كان يضع الحديث,القاسم بن محمد بن الفرغاني عن أبي عاصم النبيل قال الحاكم كان يضع الحديث,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن محمد بن ابي شيبه اخو عثمان وابي بكر واه قال ابو حاتم تركت حديثه,القاسم بن محمد بن أبي شيبة أخو عثمان وأبي بكر واه قال أبو حاتم تركت حديثه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن محمد بن حفص عن ابيه مجهولان وابوه تابعي,القاسم بن محمد بن حفص عن أبيه مجهولان وأبوه تابعي,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن مطيب عن ابي المليح الهذلي قال ابن حبان يستحق الترك,القاسم بن مطيب عن أبي المليح الهذلي قال ابن حبان يستحق الترك,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن معتمر عن نافع بن جبير فيه لين,القاسم بن معتمر عن نافع بن جبير فيه لين,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن منده الاصبهاني عن سليمان الشاذكوني ضعف,القاسم بن مندة الأصبهاني عن سليمان الشاذكوني ضعف,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن مهران عن ابي الزبير قال الازدي مجهول,القاسم بن مهران عن أبي الزبير قال الأزدي مجهول,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم ابو نوح روي عن فطر بن خليفه مجهول,القاسم أبو نوح روى عن فطر بن خليفة مجهول,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم السلمي عن ابي الزناد وعنه مسعر مجهول,القاسم السلمي عن أبي الزناد وعنه مسعر مجهول,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم الكناني عن ابن المسيب كذلك,القاسم الكناني عن ابن المسيب كذلك,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن هاني الاعمي عن الليث بن سعد ضعفوه,القاسم بن هانئ الأعمى عن الليث بن سعد ضعفوه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن يزيد عن علي لم يدركه,القاسم بن يزيد عن علي لم يدركه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
القاسم بن يزيد بن قسيط عن ابيه حديثه منكر,القاسم بن يزيد بن قسيط عن أبيه حديثه منكر,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
د س ق قبيصه بن حريث عن سلمه بن المحبق فيمن زني بامه زوجته قال البخاري فيه نظر,د س ق / قبيصة بن حريث عن سلمة بن المحبق فيمن زنى بأمة زوجته قال البخاري فيه نظر,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
ع قبيصه بن عقبه ثقه قال ابن معين هو ثقه الا في حديث الثوري,ع / قبيصة بن عقبة ثقة قال ابن معين هو ثقة إلا في حديث الثوري,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
قبيصه بن مسعود او مسعود بن قبيصه عن ابي وايل مجهول,قبيصة بن مسعود أو مسعود بن قبيصة عن أبي وائل مجهول,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
ع قتاده حافظ ثقه لكنه مدلس وقد رمي بالقدر وقد وقع في القدر كبار حتي ان الحسن لطخ به والله المستعان كما وقع في بدعه التشيع وبدعه النصب خلق من الكبار فسد هذا الباب اولي,ع / قتادة حافظ ثقة لكنه مدلس وقد رمي بالقدر وقد وقع في القدر كبار حتى إن الحسن لطخ به والله المستعان كما وقع في بدعة التشيع وبدعة النصب خلق من الكبار فسد هذا الباب أولى,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
قتيبه بن سعيد التيمي لا الثقفي عن يحيي بن ابي انيسه لا يعرف,قتيبة بن سعيد التيمي لا الثقفي عن يحيى بن أبي أنيسة لا يعرف,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
قتيبه ابو محمد عن شيبان مجهول كشيخه,قتيبة أبو محمد عن شيبان مجهول كشيخه,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
قتير حاجب معاويه بن ابي سفيان لا يعرف,قتير حاجب معاوية بن أبي سفيان لا يعرف,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
قحافه عن الزبير لا يعرف ايضا,قحافة عن الزبير لا يعرف ايضا,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
قدامه بن عبد الله عن ابن المسيب لا يعرف,قدامة بن عبد الله عن ابن المسيب لا يعرف,1,1,jarḥ (ḍuʿafāʾ),mughni_duafa_dhahabi,
