display_name,name_norm,n_books,n_entries,source_types,books,pages
عبد الله بن أبي جعفر الرازي عن أبيه,عبد الله بن ابي جعفر الرازي عن ابيه,2,2,general (six-books); jarḥ (ḍuʿafāʾ),kashif_dhahabi; mughni_duafa_dhahabi,
عبد الله بن حفص بن عمر بن سعد,عبد الله بن حفص بن عمر بن سعد,2,2,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi,
عبد الله بن سليمان بن جنادة عن أبيه,عبد الله بن سليمان بن جناده عن ابيه,2,2,general (six-books); jarḥ (ḍuʿafāʾ),kashif_dhahabi; mughni_duafa_dhahabi,
عبد الله بن عبد الرحمن بن أبي حسين,عبد الله بن عبد الرحمن بن ابي حسين,2,2,general (six-books); marāsīl/connection,jami_tahsil_alai; kashif_dhahabi,
عبد الله بن عبد الرحمن بن يزيد بن,عبد الله بن عبد الرحمن بن يزيد بن,2,2,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi,
عبد الله بن عبيد الله بن أبي مليكة,عبد الله بن عبيد الله بن ابي مليكه,2,2,general (six-books); marāsīl/connection,jami_tahsil_alai; kashif_dhahabi,
عبد الله بن علي بن يزيد بن ركانة,عبد الله بن علي بن يزيد بن ركانه,2,2,general (six-books); jarḥ (ḍuʿafāʾ),duafa_uqayli; kashif_dhahabi,duafa_uqayli:ج2/ص282
عبد الله بن عمر بن حفص بن عاصم,عبد الله بن عمر بن حفص بن عاصم,2,2,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi,kashif_dhahabi:ج1/ص576
عبد الله بن عمرو بن الفغواء عن أبيه,عبد الله بن عمرو بن الفغوا عن ابيه,2,2,general (six-books); jarḥ (ḍuʿafāʾ),kashif_dhahabi; mughni_duafa_dhahabi,
عبد الله بن عيسى بن عبد الرحمن بن,عبد الله بن عيسي بن عبد الرحمن بن,2,2,general (six-books); jarḥ (ḍuʿafāʾ),kashif_dhahabi; mughni_duafa_dhahabi,
عبد الله بن المثنى بن عبد الله بن,عبد الله بن المثني بن عبد الله بن,2,2,general (six-books); marāsīl/connection,jami_tahsil_alai; kashif_dhahabi,
عبد الله بن محمد بن علي بن نفيل,عبد الله بن محمد بن علي بن نفيل,2,2,biography/ṭabaqāt; general (six-books),kashif_dhahabi; tabaqat_ibnsad,
عبد الله بن محمد الليثي عن تابعي صغير,عبد الله بن محمد الليثي عن تابعي صغير,2,2,general (six-books); jarḥ (ḍuʿafāʾ),kashif_dhahabi; mughni_duafa_dhahabi,
